index	Stage	Date	Route	Terrain	Length	Winner
0	P	1 July	Fontenay-sous-Bois	Individual time trial	6 km (3.7 mi)	Eric Vanderaerden (BEL)
1	1	2 July	Nogent-sur-Marne – Créteil	Plain stage	163 km (101 mi)	Frits Pirard (NED)
5	5	6 July	Le Havre – Le Mans	Plain stage	257 km (160 mi)	Dominique Gaigne (FRA)
6	6	7 July	Châteaubriant – Nantes	Individual time trial	58 km (36 mi)	Bert Oosterbosch (NED)
7	7	8 July	Nantes – Île d'Oléron	Plain stage	216 km (134 mi)	Riccardo Magrini (ITA)
8	8	9 July	La Rochelle – Bordeaux	Plain stage	222 km (138 mi)	Bert Oosterbosch (NED)
9	9	10 July	Bordeaux – Pau	Plain stage	207 km (129 mi)	Philippe Chevallier (FRA)
11	11	12 July	Bagnères-de-Luchon – Fleurance	Plain stage	177 km (110 mi)	Régis Clère (FRA)
12	12	13 July	Fleurance – Roquefort-sur-Soulzon	Plain stage	261 km (162 mi)	Kim Andersen (DEN)
14	14	15 July	Aurillac – Issoire	Hilly stage	149 km (93 mi)	Pierre Le Bigaut (FRA)
15	15	16 July	Clermont-Ferrand – Puy de Dôme	Individual time trial	16 km (9.9 mi)	Ángel Arroyo (ESP)
18	18	20 July	Le Bourg-d'Oisans – Morzine	Stage with mountain(s)	247 km (153 mi)	Jacques Michaud (FRA)
21	21	23 July	Dijon	Individual time trial	50 km (31 mi)	Laurent Fignon (FRA)
22	22	24 July	Alfortville – Paris (Champs-Élysées)	Plain stage	195 km (121 mi)	Gilbert Glaus (SUI)
