Question,Answer
Q1,A1: Jean-Philippe Ruggia
Q2,A2: Jean-Philippe Ruggia
Q3,A3: 10 riders were faster than Massimo Ottobre.
Q4,A4: José Barresi
Q5,A5: 1 Japanese rider (Tetsuya Harada) in the top 20.
Q6,A6: Marcellino Lucchi scored 20 points.
Q7,A7: 5 points difference (25.0 - 20.0 = 5.0)
Q8,"A8: 9 riders (Ralf Waldmann, Olivier Jacque, Jürgen Fuchs, Jean-Philippe Ruggia, Nobuatsu Aoki, Luis d'Antin, Cristiano Migliorati, Regis Laconi, Jurgen van den Goorbergh)"
Q9,"A9: No, Olivier Jacque's time was +18.607, Tetsuya Harada's time was +31.649."
Q10,"A10: 3 Italian riders (Max Biaggi, Marcellino Lucchi, Cristiano Migliorati)"
Q11,A11: Aprilia
