Question,Answer
Q1,Q1: Two players named Jeff were drafted (Jeff Jackson and Jeff Juden).
Q2,Q2: The only player from Louisiana State University in the top 26 picks was Ben McDonald.
Q3,Q3: The only player from Hamden is Scott Burrell.
Q4,Q4: Kiki Jones was picked before Greg Gohr.
Q5,Q5: The top pick of the 1989 Major League Baseball Draft was Ben McDonald.
Q6,Q6: The last player selected in the first round of the 1989 Major League Baseball Draft was Scott Burrell.
Q7,Q7: The only draft pick from Salem High School was Jeff Juden.
Q8,"Q8: The highest round pick for an RHP among the Seattle Mariners, Baltimore Orioles, Los Angeles Dodgers, or the Houston Astros was Ben McDonald, selected by the Baltimore Orioles as the first pick overall."
Q9,"Q9: Six pitchers were chosen in the first round of the 1989 Major League Baseball Draft (Ben McDonald, Roger Salkeld, Kyle Abbott, Jeff Juden, Cal Eldred, Greg Gohr)."
Q10,"Q10: Steve Hosey was picked below Mo Vaughn (Steve Hosey was the 14th pick, Mo Vaughn was the 23rd pick)."
