Question,Answer
Q1,A1: Justin Rose won by a margin of 2 strokes in 2011.
Q2,A2: Dustin Johnson was the first to win with a score over 70 in one round (70 in the second round in 2010).
Q3,A3: Camilo Villegas won the BMW Championship in 2008.
Q4,"A4: After Justin Rose won in 2011, Rory McIlroy won next in 2012."
Q5,"A5: One American player, Dustin Johnson, has won the BMW Championship from 2007 to 2013."
Q6,"A6: Tiger Woods earned the most between 2007 and 2013, securing two wins (2007 and 2009)."
Q7,A7: The last winner of the BMW Championship in 2013 was Zach Johnson.
Q8,"A8: After Tiger Woods won in 2009, Dustin Johnson won in 2010."
Q9,"A9: Dustin Johnson won by the least number of strokes, 1 stroke, in 2010."
Q10,"A10: The BMW Championship was held at Cog Hill Golf & Country Club four times since 2007 (2007, 2009, 2010, 2011)."
