Question,Answer
Q1,"A1: Three players tied for fourth, three players tied for seventh, and three players tied for tenth. Total = 3 + 3 + 3 = 9."
Q2,A2: Two golfers shot at least 2 under par: Dustin Johnson (–6) and Graeme McDowell (–3).
Q3,A3: The top player was Dustin Johnson.
Q4,"A4: Five Americans were in the top 10: Dustin Johnson, Phil Mickelson, Tiger Woods, Sean O'Hair, and Davis Love III."
Q5,A5: There were 12 players listed in total.
Q6,"A6: Four golfers in the third round are from the United States: Dustin Johnson, Phil Mickelson, Tiger Woods, and Sean O'Hair."
Q7,A7: Dustin Johnson had the least number of strokes at the 2010 US Open with a total of 207.
Q8,A8: Two players tied for fourth place: Grégory Havret and Ernie Els.
Q9,A9: Phil Mickelson was the only player to place 6th.
Q10,"A10: Other golfers who shot 3 over par at the 2010 US Open, besides Tim Clark, were Alex Čejka and Ryo Ishikawa."
Q11,"A11: Three golfers shot 4 over par at the 2010 US Open: Martin Kaymer, Sean O'Hair, and Davis Love III."
Q12,A12: The player who placed next after Dustin Johnson was Graeme McDowell.
