index	Pos	No	Driver	Constructor	Laps	Time/Retired	Grid	Points
0	1	10	Juan Pablo Montoya	McLaren-Mercedes	60	1:24:29.588	3	10.0
1	2	5	Fernando Alonso	Renault	60	+2.739	1	8.0
5	6	1	Michael Schumacher	Ferrari	60	+1:15.322	9	3.0
7	8	17	Ralf Schumacher	Toyota	60	+1:19.212	8	1.0
8	9	16	Jarno Trulli	Toyota	60	+1:20.851	4	
9	10	12	Felipe Massa	Sauber-Petronas	59	+1 Lap	16	
11	12	8	Nick Heidfeld	Williams-BMW	59	+1 Lap	14	
12	13	14	David Coulthard	Red Bull-Cosworth	59	+1 Lap	13	
13	14	11	Jacques Villeneuve	Sauber-Petronas	59	+1 Lap	10	
15	16	4	Takuma Sato	BAR-Honda	58	+2 Laps	7	
18	19	20	Patrick Friesacher	Minardi-Cosworth	56	+4 Laps	19	
19	Ret	19	Narain Karthikeyan	Jordan-Toyota	10	Electrical	17	
